timestamp,Light,Motion,Temp,Humidity,InUse
2019-01-01 00:00:00,1300,0,19,50,False
2019-01-01 00:10:00,1312,0,19,51,False
2019-01-01 00:20:00,1318,0,19,52,False
2019-01-01 00:30:00,1306,0,19,52,False
2019-01-01 00:40:00,1306,0,19,52,False
2019-01-01 00:50:00,1300,0,19,53,False
2019-01-01 01:00:00,1300,0,19,53,False
2019-01-01 01:10:00,1300,0,18,53,False
2019-01-01 01:20:00,1312,0,18,54,False
2019-01-01 01:30:00,1318,0,18,54,False
2019-01-01 01:40:00,1318,0,18,55,False
2019-01-01 01:50:00,1330,0,18,55,False
2019-01-01 02:00:00,1324,0,18,55,False
2019-01-01 02:10:00,1324,0,18,55,False
2019-01-01 02:20:00,1324,0,18,56,False
2019-01-01 02:30:00,1312,0,18,57,False
2019-01-01 02:40:00,1312,0,18,57,False
2019-01-01 02:50:00,1318,0,18,57,False
2019-01-01 03:00:00,1330,0,18,56,False
2019-01-01 03:10:00,1324,0,18,56,False
2019-01-01 03:20:00,1312,0,17,57,False
2019-01-01 03:30:00,1306,0,17,58,False
2019-01-01 03:40:00,1312,0,17,58,False
2019-01-01 03:50:00,1324,0,17,58,False
2019-01-01 04:00:00,1324,0,17,58,False
2019-01-01 04:10:00,1312,0,17,58,False
2019-01-01 04:20:00,1324,0,17,59,False
2019-01-01 04:30:00,1330,1,17,59,False
2019-01-01 04:40:00,1324,0,17,59,False
2019-01-01 04:50:00,1330,0,17,59,False
2019-01-01 05:00:00,1342,1,17,60,False
2019-01-01 05:10:00,1390,0,17,61,False
2019-01-01 05:20:00,1420,1,16,61,False
2019-01-01 05:30:00,1450,0,16,61,False
2019-01-01 05:40:00,1540,0,16,62,False
2019-01-01 05:50:00,1570,0,16,62,False
2019-01-01 06:00:00,1612,0,17,61,False
2019-01-01 06:10:00,1684,0,17,60,False
2019-01-01 06:20:00,1684,0,17,60,False
2019-01-01 06:30:00,1678,0,17,59,False
2019-01-01 06:40:00,1696,0,17,59,False
2019-01-01 06:50:00,1738,0,18,59,False
2019-01-01 07:00:00,1798,0,18,59,False
2019-01-01 07:10:00,1864,0,18,59,False
2019-01-01 07:20:00,1864,0,18,58,False
2019-01-01 07:30:00,1882,0,18,57,False
2019-01-01 07:40:00,1888,0,18,57,False
2019-01-01 07:50:00,1954,0,19,56,False
2019-01-01 08:00:00,1948,0,19,56,False
2019-01-01 08:10:00,1984,1,19,56,False
2019-01-01 08:20:00,2068,0,19,56,False
2019-01-01 08:30:00,2122,0,19,56,False
2019-01-01 08:40:00,2128,0,19,55,False
2019-01-01 08:50:00,2140,0,19,54,False
2019-01-01 09:00:00,2382,1,20,53,True
2019-01-01 09:10:00,2466,1,20,52,True
2019-01-01 09:20:00,2562,1,21,52,True
2019-01-01 09:30:00,2622,1,21,51,True
2019-01-01 09:40:00,2616,1,21,51,True
2019-01-01 09:50:00,2682,1,22,49,True
2019-01-01 10:00:00,2766,0,22,48,True
2019-01-01 10:10:00,2808,1,23,47,True
2019-01-01 10:20:00,2832,1,23,47,True
2019-01-01 10:30:00,2862,1,24,46,True
2019-01-01 10:40:00,2898,1,24,44,True
2019-01-01 10:50:00,2928,1,24,43,True
2019-01-01 11:00:00,2958,1,25,40,True
2019-01-01 11:10:00,3000,0,26,38,True
2019-01-01 11:20:00,3042,1,26,34,True
2019-01-01 11:30:00,3054,1,27,32,True
2019-01-01 11:40:00,3054,1,28,31,True
2019-01-01 11:50:00,3048,1,28,30,True
2019-01-01 12:00:00,3072,1,29,29,True
2019-01-01 12:10:00,3078,1,29,28,True
2019-01-01 12:20:00,3084,1,29,26,True
2019-01-01 12:30:00,3090,1,30,26,True
2019-01-01 12:40:00,3102,1,30,22,True
2019-01-01 12:50:00,3144,1,31,22,True
2019-01-01 13:00:00,3156,1,31,20,True
2019-01-01 13:10:00,3156,1,32,20,True
2019-01-01 13:20:00,3180,1,32,20,True
2019-01-01 13:30:00,3200,1,33,20,True
2019-01-01 13:40:00,3200,1,34,20,True
2019-01-01 13:50:00,3200,1,34,20,True
2019-01-01 14:00:00,3164,1,34,20,True
2019-01-01 14:10:00,3164,1,34,21,True
2019-01-01 14:20:00,3122,1,34,20,True
2019-01-01 14:30:00,3098,1,34,20,True
2019-01-01 14:40:00,3080,1,35,21,True
2019-01-01 14:50:00,3056,1,35,21,True
2019-01-01 15:00:00,3062,1,35,22,True
2019-01-01 15:10:00,3020,1,35,22,True
2019-01-01 15:20:00,3008,1,35,22,True
2019-01-01 15:30:00,3020,1,35,23,True
2019-01-01 15:40:00,3026,1,35,22,True
2019-01-01 15:50:00,3008,1,35,22,True
2019-01-01 16:00:00,2972,1,35,22,True
2019-01-01 16:10:00,2948,1,35,22,True
2019-01-01 16:20:00,2906,1,35,22,True
2019-01-01 16:30:00,2900,1,35,22,True
2019-01-01 16:40:00,2906,1,36,23,True
2019-01-01 16:50:00,2918,1,36,22,True
2019-01-01 17:00:00,2888,1,36,22,True
2019-01-01 17:10:00,2888,1,36,21,True
2019-01-01 17:20:00,2882,1,36,22,True
2019-01-01 17:30:00,2870,1,36,22,True
2019-01-01 17:40:00,2864,1,36,21,True
2019-01-01 17:50:00,2876,1,36,21,True
2019-01-01 18:00:00,2864,0,36,23,False
2019-01-01 18:10:00,2634,0,35,24,False
2019-01-01 18:20:00,2568,0,35,25,False
2019-01-01 18:30:00,2544,0,35,26,False
2019-01-01 18:40:00,2490,0,35,28,False
2019-01-01 18:50:00,2484,0,35,28,False
2019-01-01 19:00:00,2466,0,34,29,False
2019-01-01 19:10:00,2394,0,34,30,False
2019-01-01 19:20:00,2382,1,33,31,False
2019-01-01 19:30:00,2352,0,34,32,False
2019-01-01 19:40:00,2268,0,33,34,False
2019-01-01 19:50:00,2262,0,33,35,False
2019-01-01 20:00:00,2190,0,32,36,False
2019-01-01 20:10:00,2118,0,32,38,False
2019-01-01 20:20:00,2088,0,32,39,False
2019-01-01 20:30:00,2052,0,31,39,False
2019-01-01 20:40:00,2004,0,31,41,False
2019-01-01 20:50:00,1968,0,31,41,False
2019-01-01 21:00:00,1962,0,30,42,False
2019-01-01 21:10:00,1956,0,30,42,False
2019-01-01 21:20:00,1896,0,30,42,False
2019-01-01 21:30:00,1860,0,30,44,False
2019-01-01 21:40:00,1866,0,30,45,False
